id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12387003,JE256543,6/6/2021 21:00,013XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1424,14,1,24,08B,1164335,1909299,2021,6/13/2021 16:53,41.90673618,-87.67176677,(41.90673618-87.67176677)
12386777,JE256372,6/6/2021 21:00,021XX S HALSTED ST,5130,OTHER OFFENSE,VIOLENT OFFENDER - DUTY TO REGISTER,STREET,FALSE,FALSE,1235,12,11,31,26,1171357,1890186,2021,6/13/2021 16:53,41.8541373,-87.64653412,(41.8541373-87.64653412)
12386768,JE256333,6/6/2021 21:00,026XX W ESTES AVE,460,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,2411,24,50,2,08B,1157435,1947004,2021,6/13/2021 16:53,42.01034414,-87.69608332,(42.01034414-87.69608332)
12391916,JE256406,6/6/2021 21:00,079XX S LAFAYETTE AVE,810,THEFT,OVER $500,GAS STATION,FALSE,FALSE,623,6,17,44,6,,,2021,6/13/2021 16:53,,,()
12386838,JE256331,6/6/2021 21:00,003XX S PEORIA ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1232,12,25,28,6,1170468,1898561,2021,6/13/2021 16:53,41.87713841,-87.64955224,(41.87713841-87.64955224)
12387352,JE256919,6/6/2021 21:00,065XX N CLAREMONT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,2412,24,50,2,08A,1159466,1943140,2021,6/13/2021 16:53,41.99969947,-87.68871756,(41.99969947-87.68871756)
12387258,JE256897,6/6/2021 21:00,020XX W JAMES ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,932,9,16,61,7,1163548,1870345,2021,6/13/2021 16:53,41.79985924,-87.67575356,(41.79985924-87.67575356)
12387112,JE256695,6/6/2021 21:00,074XX S HARVARD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,STREET,FALSE,FALSE,731,7,6,69,26,1175245,1855588,2021,6/13/2021 16:53,41.75911086,-87.63329808,(41.75911086-87.63329808)
12386873,JE256492,6/6/2021 21:00,014XX N HARDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2535,25,26,23,08B,1149786,1909246,2021,6/13/2021 16:53,41.90688622,-87.72521284,(41.90688622-87.72521284)
12387323,JE256337,6/6/2021 20:58,046XX N ELSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,FALSE,TRUE,1722,17,39,16,14,1146581,1930607,2021,6/13/2021 16:53,41.96556447,-87.73643991,(41.96556447-87.73643991)
12386712,JE256317,6/6/2021 20:52,078XX S HALSTED ST,810,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,621,6,17,71,6,1172325,1852947,2021,6/13/2021 16:53,41.75192833,-87.64407726,(41.75192833-87.64407726)
12386753,JE256340,6/6/2021 20:49,072XX S PERRY AVE,488,BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,APARTMENT,FALSE,TRUE,731,7,6,69,04B,1176648,1857084,2021,6/13/2021 16:53,41.76318462,-87.62811123,(41.76318462-87.62811123)
12386822,JE256359,6/6/2021 20:45,057XX N SHERIDAN RD,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2022,20,48,77,08B,1168598,1938218,2021,6/13/2021 16:53,41.98599984,-87.65526673,(41.98599984-87.65526673)
12386923,JE256546,6/6/2021 20:45,049XX S KEDVALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,815,8,14,57,08B,1149533,1871468,2021,6/13/2021 16:53,41.80322363,-87.72712197,(41.80322363-87.72712197)
12386864,JE256446,6/6/2021 20:45,057XX N SHERIDAN RD,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2022,20,48,77,08B,1168598,1938218,2021,6/13/2021 16:53,41.98599984,-87.65526673,(41.98599984-87.65526673)
12386798,JE256309,6/6/2021 20:45,008XX W MARQUETTE RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,723,7,6,68,15,1171704,1860421,2021,6/13/2021 16:53,41.77245155,-87.64613414,(41.77245155-87.64613414)
